dataset,fold,model,Accuracy,F1,ROC-AUC,PR-AUC,SPD,DIR,EOD,A_flip_prob_rate,A_flip_class_rate
adult,10,XGBoost,0.8680590087850157,0.6961832061068702,0.9260532047169653,0.8299088399834974,0.1877325524012039,0.23876510937515832,0.15232285102841525,0.005801425493121167,0.009779545831261395
adult,10,XGBoost+RW,0.8614288082214487,0.6693037974683544,0.9207163199747499,0.8159702914717032,0.09649904861377466,0.5212751715289787,0.12748186898109626,0.000994530084535057,0.030167412564230067
adult,11,LogisticRegression,0.8425327366152826,0.6607142857142857,0.8991793771036102,0.7593873889818712,0.1896102605371795,0.310720762135328,0.08556628525254137,0.39864080888446873,0.08867893253770927
adult,11,XGBoost,0.854135587601525,0.6733481811432813,0.9155575248598132,0.8090877061747256,0.1784877562852984,0.2972896159989112,0.08707347521103315,0.0028178352395159954,0.012763136084866566
adult,11,XGBoost+RW,0.8480026520802254,0.6522563519150549,0.9096354569982612,0.7920101428692923,0.08953148857654059,0.5863304346396344,0.1334041731066461,0.0006630200563567048,0.016907011437095974
adult,12,LogisticRegression,0.8448275862068966,0.6523031203566122,0.904623284322627,0.7646538554363685,0.17254637893663138,0.32121696604909244,0.07383730733585317,0.3776525198938992,0.08885941644562334
adult,12,XGBoost,0.8628978779840849,0.6854317230886269,0.9212532629244008,0.8194659387401987,0.1697512909600918,0.3009631477045253,0.06234238248148591,0.008952254641909815,0.023872679045092837
adult,12,XGBoost+RW,0.8561007957559682,0.6643464810518175,0.9140500168283309,0.8043959322492771,0.0720048928981257,0.6462672251800815,0.22223841749089013,0.0008289124668435014,0.015915119363395226
adult,13,LogisticRegression,0.8506299734748011,0.6712878511492156,0.9047741438026089,0.771713488783048,0.18002994232408884,0.3189370059005838,0.12216623855628006,0.39903846153846156,0.09764588859416445
adult,13,XGBoost,0.8643899204244032,0.6913207547169812,0.9200968206144038,0.8207710673952944,0.16969662803231034,0.30983243273746064,0.10416255022064147,0.005802387267904509,0.01823607427055703
adult,13,XGBoost+RW,0.8622347480106101,0.6812428078250863,0.9170927172659558,0.812622793579991,0.07315782019780634,0.6469831075253122,0.18992623328722913,0.0003315649867374005,0.01840185676392573
adult,14,LogisticRegression,0.8511273209549072,0.6748732802317161,0.9066075255068299,0.7812093231824856,0.17627973320475732,0.337123215230037,0.09323641502896907,0.39721485411140584,0.08968832891246685
adult,14,XGBoost,0.8650530503978779,0.6971726190476191,0.9225313268842428,0.8256457603031079,0.18237905818064928,0.28657089417349074,0.143535368434774,0.0062997347480106105,0.021385941644562333
adult,14,XGBoost+RW,0.8604111405835544,0.6817838246409675,0.9182444011369681,0.8126493289202189,0.08422733847637418,0.6116976938038343,0.14157664904619627,0.0,0.007460212201591512
acs_employment_ca_2018,0,LogisticRegression,0.7756666666666666,0.7692835104559479,0.8505322923741647,0.7860544138335004,0.004593174317354509,0.991146210681028,0.015355155044291247,0.0,0.08333333333333333
acs_employment_ca_2018,0,XGBoost,0.8253333333333334,0.8196834136269787,0.9031704796142012,0.8604540041431822,0.018947487655814665,0.9639051136057126,0.025991119169331722,0.0,0.0
acs_employment_ca_2018,0,XGBoost+RW,0.8245,0.8186671258825555,0.9027688858284155,0.85963788636351,0.021712613232067968,0.9587052016534832,0.02749811834951965,0.0,0.0
acs_employment_ca_2018,1,LogisticRegression,0.7675,0.7652700656234225,0.8400426358082549,0.7621806630116331,0.005707724097657407,0.9894038423450188,0.028524475311287212,0.0,0.06283333333333334
acs_employment_ca_2018,1,XGBoost,0.8108333333333333,0.8068085106382978,0.8911101774875405,0.8440299814986677,0.009464209509691623,0.9820585558494643,0.013994852047919448,0.0,0.0005
acs_employment_ca_2018,1,XGBoost+RW,0.811,0.8071428571428572,0.8913042260815647,0.8444002953568955,0.008018327605956443,0.9848073792729246,0.015511152275364481,0.0,0.0005
acs_employment_ca_2018,2,LogisticRegression,0.7695,0.7653147802477516,0.8455768139432445,0.7700072575534705,0.003228027488613283,0.9938854997985396,0.01098971311737268,0.0,0.07416666666666667
